ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AR-115,Pope County,Arkansas,50.1,8.6,129,41.5
AR-117,Prairie County,Arkansas,52.1,8,127,44.1
AR-119,Pulaski County,Arkansas,52.5,8.2,129,44.3
AR-121,Randolph County,Arkansas,49.4,10.1,130,39.3
AR-123,St. Francis County,Arkansas,51.8,8.4,127,43.4
AR-125,Saline County,Arkansas,52.2,8,129,44.2
AR-127,Scott County,Arkansas,52,9.3,129,42.7
AR-129,Searcy County,Arkansas,49.4,10.2,129,39.2
AR-131,Sebastian County,Arkansas,52.2,9.4,129,42.8
AR-133,Sevier County,Arkansas,53,7.8,129,45.2
AR-135,Sharp County,Arkansas,49.3,10.3,129,39
AR-137,Stone County,Arkansas,50.8,11,130,39.8
AR-139,Union County,Arkansas,54.6,7.1,127,47.5
AR-141,Van Buren County,Arkansas,50.2,9.5,129,40.7
AR-143,Washington County,Arkansas,48,8.4,127,39.6
AR-145,White County,Arkansas,51.7,9,129,42.7
AR-147,Woodruff County,Arkansas,51,8.1,125,42.9
AR-149,Yell County,Arkansas,52.2,9.1,129,43.1
CA-001,Alameda County,California,51,1.5,90,49.5
CA-003,Alpine County,California,30.9,0.6,64,30.3
CA-005,Amador County,California,46.9,1.2,86,45.7
CA-007,Butte County,California,47.6,0.7,62,46.9
CA-009,Calaveras County,California,47.2,1.3,86,45.9
CA-011,Colusa County,California,49.8,1.2,80,48.6
CA-013,Contra Costa County,California,51.8,1.8,97,50
CA-015,Del Norte County,California,43.3,1.8,94,41.5
CA-017,El Dorado County,California,41.8,0.5,69,41.3
CA-019,Fresno County,California,44.3,2,98,42.3
CA-021,Glenn County,California,48.3,1.2,84,47.1
CA-023,Humboldt County,California,46.2,2.1,101,44.1
CA-025,Imperial County,California,60.4,2,93,58.4
CA-027,Inyo County,California,45.6,0.9,74,44.7
CA-029,Kern County,California,49.9,2.1,97,47.8
CA-031,Kings County,California,53.6,3.1,115,50.5
CA-033,Lake County,California,46.2,1.2,81,45
CA-035,Lassen County,California,35,2.4,95,32.6
CA-037,Los Angeles County,California,51,1.5,84,49.5
CA-039,Madera County,California,45,2.1,97,42.9
CA-041,Marin County,California,51.1,1.3,86,49.8
CA-043,Mariposa County,California,43.1,0.8,78,42.3
CA-045,Mendocino County,California,47,1.1,82,45.9
CA-047,Merced County,California,51.5,1.6,91,49.9
CA-049,Modoc County,California,35.8,3.6,105,32.2
CA-051,Mono County,California,30,0.8,66,29.2
CA-053,Monterey County,California,50.1,1.3,84,48.8
CA-055,Napa County,California,49.6,1.2,83,48.4
CA-057,Nevada County,California,39.7,0,53,39.7
CA-059,Orange County,California,56,1,76,55
CA-061,Placer County,California,41.4,0.3,60,41.1
CA-063,Plumas County,California,34.8,0.9,70,33.9
CA-065,Riverside County,California,55.3,1.6,86,53.7
CA-067,Sacramento County,California,52.8,2,100,50.8
CA-069,San Benito County,California,48.5,1.6,89,46.9
CA-071,San Bernardino County,California,51.9,1.3,79,50.6
CA-073,San Diego County,California,52.8,1.5,86,51.3
CA-075,San Francisco County,California,52.6,1.5,91,51.1
CA-077,San Joaquin County,California,53,2.6,111,50.4
CA-079,San Luis Obispo County,California,50.3,1.7,90,48.6
CA-081,San Mateo County,California,51.4,1.5,91,49.9
CA-083,Santa Barbara County,California,50.6,2,96,48.6
CA-085,Santa Clara County,California,49.1,1,82,48.1
CA-087,Santa Cruz County,California,50.9,1.5,88,49.4
CA-089,Shasta County,California,43.1,1.4,84,41.7
CA-091,Sierra County,California,34.2,0.6,63,33.6
CA-093,Siskiyou County,California,38.4,2.6,104,35.8
CA-095,Solano County,California,52,1.5,93,50.5
CA-097,Sonoma County,California,50.2,1.2,83,49
CA-099,Stanislaus County,California,50.8,1.2,87,49.6
CA-101,Sutter County,California,52,1.3,84,50.7
CA-103,Tehama County,California,46.4,1,75,45.4
CA-105,Trinity County,California,41.6,1.8,93,39.8
CA-107,Tulare County,California,43.3,2.5,105,40.8
CA-109,Tuolumne County,California,37.1,-0.2,54,37.3
CA-111,Ventura County,California,48.6,1.9,92,46.7
CA-113,Yolo County,California,51.5,1.4,87,50.1
CA-115,Yuba County,California,48.8,0.3,59,48.5
CO-001,Adams County,Colorado,36.1,5.5,116,30.6
CO-003,Alamosa County,Colorado,29.9,5.4,115,24.5
CO-005,Arapahoe County,Colorado,36.7,6,122,30.7
CO-007,Archuleta County,Colorado,29.4,3.4,103,26
CO-009,Baca County,Colorado,42.5,7.3,125,35.2
CO-011,Bent County,Colorado,42.1,7.8,126,34.3
CO-013,Boulder County,Colorado,31.6,3.8,107,27.8
CO-014,Broomfield County,Colorado,37.3,4.5,110,32.8
CO-015,Chaffee County,Colorado,24.4,2.8,103,21.6
CO-017,Cheyenne County,Colorado,39.8,8.1,127,31.7
CO-019,Clear Creek County,Colorado,24.5,3.2,105,21.3
CO-021,Conejos County,Colorado,28.7,5.5,120,23.2
CO-023,Costilla County,Colorado,29.4,4.2,107,25.2
CO-025,Crowley County,Colorado,39.7,6.7,124,33
CO-027,Custer County,Colorado,30.5,4.9,117,25.6
CO-029,Delta County,Colorado,33,5,119,28
CO-031,Denver County,Colorado,37.8,5.3,115,32.5
CO-033,Dolores County,Colorado,29.1,2.9,101,26.2
CO-035,Douglas County,Colorado,36,5.6,120,30.4
CO-037,Eagle County,Colorado,25.4,3.6,110,21.8
CO-039,Elbert County,Colorado,36.5,7,127,29.5
CO-041,El Paso County,Colorado,36.6,6,122,30.6
CO-043,Fremont County,Colorado,33.6,4.4,115,29.2
CO-045,Garfield County,Colorado,30.4,5.1,119,25.3
CO-047,Gilpin County,Colorado,27.1,3.5,108,23.6
CO-049,Grand County,Colorado,22.3,2.9,99,19.4
CO-051,Gunnison County,Colorado,23.5,3.7,110,19.8
CO-053,Hinsdale County,Colorado,21.9,2.7,101,19.2
CO-055,Huerfano County,Colorado,34.9,4.3,111,30.6
CO-057,Jackson County,Colorado,21.7,2.9,99,18.8
CO-059,Jefferson County,Colorado,34.6,4.6,113,30
CO-061,Kiowa County,Colorado,40.6,7.7,126,32.9
CO-063,Kit Carson County,Colorado,39.7,8.4,127,31.3
CO-065,Lake County,Colorado,20.5,2.6,104,17.9
CO-067,La Plata County,Colorado,30.1,2.7,93,27.4
CO-069,Larimer County,Colorado,29.7,5,114,24.7
CO-071,Las Animas County,Colorado,39,5,115,34
CO-073,Lincoln County,Colorado,38.4,7.3,128,31.1
CO-075,Logan County,Colorado,38.2,8,126,30.2
CO-077,Mesa County,Colorado,34.5,6.2,122,28.3
CO-079,Mineral County,Colorado,23.1,3.2,104,19.9
CO-081,Moffat County,Colorado,29.3,5.7,117,23.6
CO-083,Montezuma County,Colorado,34.2,3.1,103,31.1
CO-085,Montrose County,Colorado,33.9,5.1,117,28.8
CO-087,Morgan County,Colorado,36.4,7.2,122,29.2
CO-089,Otero County,Colorado,41.5,6.7,124,34.8
CO-091,Ouray County,Colorado,27.6,3.7,111,23.9
CO-093,Park County,Colorado,24.5,2.6,99,21.9
CO-095,Phillips County,Colorado,39,9.3,129,29.7
CO-097,Pitkin County,Colorado,24,3.1,105,20.9
